127.0.0.1 - - [21/Oct/2023:18:58:59 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [21/Oct/2023:18:59:00 +0900] "GET /MiniProjectJava/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Oct/2023:18:59:00 +0900] "GET /MiniProjectJava/main HTTP/1.1" 200 9301
0:0:0:0:0:0:0:1 - - [21/Oct/2023:18:59:06 +0900] "GET /MiniProjectJava/user/login HTTP/1.1" 200 3640
0:0:0:0:0:0:0:1 - - [21/Oct/2023:18:59:13 +0900] "POST /MiniProjectJava/user/login_pro HTTP/1.1" 200 103
0:0:0:0:0:0:0:1 - - [21/Oct/2023:18:59:14 +0900] "GET /MiniProjectJava/main HTTP/1.1" 200 9307
0:0:0:0:0:0:0:1 - - [21/Oct/2023:19:00:12 +0900] "GET /MiniProjectJava/user/logout HTTP/1.1" 200 253
0:0:0:0:0:0:0:1 - - [21/Oct/2023:19:00:14 +0900] "GET /MiniProjectJava/main HTTP/1.1" 200 9301
0:0:0:0:0:0:0:1 - - [21/Oct/2023:19:00:15 +0900] "GET /MiniProjectJava/user/login HTTP/1.1" 200 3640
0:0:0:0:0:0:0:1 - - [21/Oct/2023:19:00:20 +0900] "POST /MiniProjectJava/user/login_pro HTTP/1.1" 200 103
0:0:0:0:0:0:0:1 - - [21/Oct/2023:19:00:22 +0900] "GET /MiniProjectJava/main HTTP/1.1" 200 9307
0:0:0:0:0:0:0:1 - - [21/Oct/2023:19:00:28 +0900] "POST /MiniProjectJava/user/login_pro HTTP/1.1" 200 103
0:0:0:0:0:0:0:1 - - [21/Oct/2023:19:00:30 +0900] "GET /MiniProjectJava/main HTTP/1.1" 200 9307
0:0:0:0:0:0:0:1 - - [21/Oct/2023:19:01:01 +0900] "GET /MiniProjectJava/user/logout HTTP/1.1" 200 253
0:0:0:0:0:0:0:1 - - [21/Oct/2023:19:01:03 +0900] "GET /MiniProjectJava/main HTTP/1.1" 200 9301
0:0:0:0:0:0:0:1 - - [21/Oct/2023:19:01:05 +0900] "GET /MiniProjectJava/user/login HTTP/1.1" 200 3640
0:0:0:0:0:0:0:1 - - [21/Oct/2023:19:01:13 +0900] "POST /MiniProjectJava/user/login_pro HTTP/1.1" 200 103
0:0:0:0:0:0:0:1 - - [21/Oct/2023:19:01:14 +0900] "GET /MiniProjectJava/main HTTP/1.1" 200 9307
0:0:0:0:0:0:0:1 - - [21/Oct/2023:19:01:27 +0900] "GET /MiniProjectJava/user/join HTTP/1.1" 200 5332
0:0:0:0:0:0:0:1 - - [21/Oct/2023:19:01:30 +0900] "POST /MiniProjectJava/user/login_pro HTTP/1.1" 200 103
0:0:0:0:0:0:0:1 - - [21/Oct/2023:19:01:31 +0900] "GET /MiniProjectJava/main HTTP/1.1" 200 9307
